model,feature_set,mae,rmse,r2
elastic_net_a0.1_l10.2,descriptors_plus_morgan_2048,0.9373535407329274,1.1708585616514922,-0.038523549047948524
elastic_net_a0.1_l10.2,descriptors_plus_similarity_plus_morgan_2048,0.9373556383602688,1.1708604558133564,-0.03852690920323498
elastic_net_a1_l10.2,descriptors_plus_morgan_512,0.9429227918311597,1.1213139295206702,0.04750673982334297
elastic_net_a1_l10.2,descriptors_plus_similarity_plus_morgan_512,0.9429227918311597,1.1213139295206702,0.04750673982334297
elastic_net_a0.5_l10.2,morgan_512,0.9435449587748453,1.1727253315865753,-0.04183774955384334
elastic_net_a1_l10.2,morgan_512,0.9440995837012839,1.1246761576645474,0.041786127844582355
knn_k3_distance,descriptors_plus_similarity_plus_morgan_2048,0.9472486968987552,1.1735726508240265,-0.04334379372898889
elastic_net_a0.05_l10.2,morgan_2048,0.9524866803914191,1.1896167048623143,-0.07206615329986077
elastic_net_a0.5_l10.5,morgan_512,0.9538140891174118,1.1476494183065593,0.0022402998160959697
elastic_net_a0.01_l10.2,morgan_2048,0.9549536995063675,1.1898634960772072,-0.07251100911117692
elastic_net_a0.1_l10.2,morgan_2048,0.9555670148784303,1.1906485257709976,-0.07392668534158808
knn_k3_distance,descriptors_plus_morgan_1024,0.9558781840929562,1.2042563471849532,-0.09861459648421023
elastic_net_a0.5_l10.5,descriptors_plus_morgan_512,0.9562851015690331,1.1461872802954327,0.0047810287952800845
elastic_net_a0.5_l10.5,descriptors_plus_similarity_plus_morgan_512,0.9562851015690331,1.1461872802954327,0.0047810287952800845
knn_k3_uniform,descriptors_plus_similarity_plus_morgan_2048,0.9605263157894737,1.1823015022003749,-0.05892197177825853
random_forest_n200_leaf2_featsqrt_depth6,descriptors_plus_similarity_plus_morgan_512,0.96143138136717,1.0835970362088878,0.1105058546685076
random_forest_n200_leaf2_featsqrt_depthnone,descriptors_plus_similarity_plus_morgan_512,0.96143138136717,1.0835970362088878,0.1105058546685076
random_forest_n200_leaf2_featsqrt_depth4,descriptors_plus_similarity_plus_morgan_512,0.9614420048007544,1.0835188476184974,0.1106342156401211
random_forest_n200_leaf1_featsqrt_depthnone,morgan_512,0.9621526315789477,1.1182623228167796,0.052684022655791196
elastic_net_a0.01_l10.5,morgan_2048,0.9622068865644814,1.223165451171431,-0.13338611639039888
random_forest_n500_leaf1_feat0p3_depthnone,descriptors,0.9631294736842098,1.119818755043586,0.05004517993185975
random_forest_n500_leaf1_feat0p3_depth6,descriptors,0.9632541808688384,1.1200275576697576,0.049690887680823304
knn_k3_uniform,descriptors_plus_morgan_1024,0.9671929824561405,1.209939585751946,-0.10900843290982754
random_forest_n200_leaf1_featsqrt_depth6,morgan_512,0.968745805137845,1.1264754042580212,0.03871779194423741
random_forest_n200_leaf2_featsqrt_depth4,morgan_512,0.9705160607229032,1.1059436330496442,0.07344018191662327
elastic_net_a0.1_l10.8,descriptors_plus_morgan_512,0.9705886921980226,1.2475039032912938,-0.17893891458195776
elastic_net_a0.1_l10.8,descriptors_plus_similarity_plus_morgan_512,0.9705891165698075,1.2474989161803811,-0.17892948857958846
random_forest_n200_leaf2_featsqrt_depth6,morgan_512,0.9715553516585759,1.1073462349170626,0.07108849130402595
random_forest_n200_leaf2_featsqrt_depthnone,morgan_512,0.9715553516585759,1.1073462349170626,0.07108849130402595
elastic_net_a0.01_l10.5,descriptors_plus_morgan_2048,0.9718923051820336,1.2271016313413148,-0.14069238898575298
elastic_net_a0.01_l10.5,descriptors_plus_similarity_plus_morgan_2048,0.9719424046447683,1.2271465398454826,-0.14077588284636833
elastic_net_a0.01_l10.2,descriptors_plus_morgan_512,0.9759609176413235,1.244952072572019,-0.17412069227182636
elastic_net_a0.01_l10.2,descriptors_plus_similarity_plus_morgan_512,0.975979345397106,1.244949573819449,-0.1741159791037974
random_forest_n500_leaf1_feat0p3_depth4,descriptors,0.9765514181286546,1.1287745655587462,0.03478979082005729
elastic_net_a0.05_l10.2,descriptors_plus_similarity_plus_morgan_512,0.977234716122699,1.2444650954877614,-0.17320233074328661
elastic_net_a0.05_l10.2,descriptors_plus_morgan_512,0.9772500344765352,1.2444935219615452,-0.17325592868880513
elastic_net_a0.1_l10.2,descriptors_plus_similarity_plus_morgan_512,0.9772725495067286,1.2388047293578994,-0.1625541378025852
elastic_net_a0.1_l10.2,descriptors_plus_morgan_512,0.9772802795245453,1.2388132546684623,-0.1625701389833032
