method,parent_id,parent_smiles,product_smiles,transform
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n(CCC(=O)O)c2C)c(C)n1CCC(=O)O,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n([C@@H]3CCNC[C@@H]3C)c2C)c(C)n1-c1cc(C)n([C@@H]2CCNC[C@@H]2C)c1C,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cc(C)n([C@@H]3CCNC[C@@H]3C)c2C)c(C)n1[C@@H]1CCNC[C@@H]1C,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2ccc(C#N)cc2)c(C)n1-c1ccc(C#N)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2ccc(Cl)c(Cl)c2)c(C)n1-c1ccc(Cl)c(Cl)c1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2ccc(Cl)cc2)c(C)n1-c1ccc(Cl)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2ccc(F)cc2)c(C)n1-c1ccc(F)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2ccc(O)cc2)c(C)n1-c1ccc(O)cc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2ccc3nc4c(c(Cl)c3c2)CCCC4)c(C)n1-c1ccc2nc3c(c(Cl)c2c1)CCCC3,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2cccc(Br)n2)c(C)n1-c1cccc(Br)n1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-c2ccccc2)c(C)n1-c1ccccc1,core_plus_one_side_fragment
fragment_growing,[9*]n1c(C)cc([16*])c1C,[9*]n1c(C)cc([16*])c1C,Cc1cc(-n2c(C)cc(-c3ccc(C#N)cc3)c2C)c(C)n1-c1ccc(C#N)cc1,core_plus_one_side_fragment
