feature_set,model,mae,rmse,r2
graph_plus_morgan512,extra_trees,0.9693754385964918,1.1573745017033092,-0.014741207936760814
morgan512,extra_trees,0.9488649122807011,1.1574562789666385,-0.014884611287240723
rdk_fp,svr_rbf,1.0201181027303168,1.1577605326841307,-0.015418234898481487
base_plus_rdk_fp,svr_rbf,1.0230254373489642,1.158217946889946,-0.016220747100905708
base_graph_similarity_morgan512,svr_rbf,1.0405657312445242,1.1609475196104775,-0.021016246949028927
base_plus_torsion,svr_rbf,1.0343289540209333,1.1625257513369935,-0.02379414259591095
base_plus_morgan512,svr_rbf,1.0384969470717391,1.163446136481257,-0.02541588375305004
morgan1024,svr_rbf,1.0323830382823729,1.1634674579072288,-0.025453467837959876
base_graph_similarity_morgan512,pls_2,0.9934619340161461,1.1643693512200632,-0.027043900093020268
base_descriptors,rf,1.0063105263157897,1.1649139333466927,-0.02800483323134806
base_plus_morgan512,pls_2,0.9898827721885218,1.165528757698042,-0.029090251094412878
graph_plus_morgan512,rf,1.0303596491228084,1.1656065025436035,-0.029227543512926557
torsion,svr_rbf,1.0333935810021757,1.1657653793608285,-0.029508138276593376
base_plus_maccs,rf,1.045494736842105,1.1685294411082845,-0.03439591010541654
graph_plus_morgan512,svr_rbf,1.0442902241477265,1.1685445486734787,-0.03442265706465997
base_plus_morgan512,extra_trees,0.9850035087719299,1.16875206871631,-0.03479009276956213
morgan1024,pls_2,0.9793974167892685,1.1687933042519563,-0.03486311232201622
torsion,rf,1.015638596491229,1.1706985962556087,-0.038239797469893144
atom_pair,rf,1.0560736842105274,1.1711048060629012,-0.038960420793051176
morgan1024,rf,1.0180070175438594,1.1711644467808562,-0.03906624552014204
base_plus_atom_pair,svr_rbf,1.07940280674157,1.1726462797399566,-0.04169729650844678
base_plus_atom_pair,rf,1.0661526315789487,1.1726533107913615,-0.04170978833880401
atom_pair,svr_rbf,1.0801440192346754,1.1737687239047652,-0.04369245338977468
graph_plus_morgan512,pls_2,1.0000113702297646,1.1738968940533163,-0.04392039866998987
