variant,feature_set,model,evaluation,mae,rmse,r2
raw_rows,graph_morgan3_512,ridge,loocv,0.8029514211568881,1.0675301988853358,0.10368951714463692
dedup_rows,graph_morgan2_512,knn3_dist_euclid,loocv,0.9272120513015093,1.088361281159201,0.10266699218814268
raw_rows,morgan2_512,tanimoto_krr_a0.01,loocv,0.7895947050636679,1.068212235703453,0.10254385956382028
dedup_rows,atom_pair512,extra,loocv,0.9608491228070171,1.0895182238572048,0.10075822406196411
dedup_rows,rdk512,ridge,loocv,0.8634278484527156,1.0907789059387918,0.09867599386660397
dedup_rows,base_graph_morgan2_256_sim,knn1_euclid,loocv,0.618421052631579,1.0914813690335572,0.09751471228882147
dedup_rows,base_graph_morgan2_256_sim,ridge,loocv,0.8896694803813295,1.0937124540070173,0.09382142107978919
raw_rows,morgan2_256,svr_rbf,loocv,0.9128501038940298,1.0743280525160501,0.09223806211561436
dedup_rows,base_graph_morgan2_256,knn1_euclid,loocv,0.6252631578947369,1.0948924484551945,0.09186503389848988
raw_rows,base_graph_morgan2_512_sim,extra,loocv,0.8180128205128265,1.0749100335562038,0.09125429681224251
raw_rows,maccs,rf,loocv,0.9385797802197822,1.075144189450215,0.09085833560143652
raw_rows,morgan3_512,ridge,loocv,0.8157956907305332,1.0752961634275469,0.0906012991200481
dedup_rows,base_graph_morgan2_256,ridge,loocv,0.8878584656405034,1.0958829104423147,0.09022125600006581
raw_rows,base_graph_morgan2_512,extra,loocv,0.8105782051282114,1.0755483963116914,0.09017461265375759
raw_rows,maccs,extra,loocv,0.8462799145299205,1.076552048160199,0.08847580674488753
raw_rows,base_graph_morgan2_256,extra,loocv,0.8318826923076981,1.0766250313890373,0.08835221172889851
raw_rows,base_morgan3_512,enet,loocv,0.7911691825800486,1.0779215343337558,0.08615522451580404
dedup_rows,base_morgan2_256,ridge,loocv,0.8886019526036467,1.0984102021763864,0.08602020945022393
raw_rows,base_graph_morgan3_512_sim,svr_rbf,loocv,0.9283857975026897,1.0786533708318464,0.084913924534185
raw_rows,morgan3_512,rf,loocv,0.9112200854700879,1.078914802427191,0.08447029470785417
raw_rows,base_graph_morgan3_512,svr_rbf,loocv,0.9294630695603405,1.0795912180812754,0.08332196909669831
raw_rows,base_morgan3_512,svr_rbf,loocv,0.929895738945084,1.0810242551599671,0.08088677800468047
raw_rows,morgan3_512,tanimoto_knn3w,loocv,0.8485731975923118,1.0821207162961495,0.07902135638394625
dedup_rows,base_graph_morgan3_512_sim,enet,loocv,0.9056041515130258,1.103459957809091,0.07759715622393648
dedup_rows,base_graph_morgan3_512,enet,loocv,0.9056064152843811,1.1034616250315468,0.07759436889688331
raw_rows,morgan2_512,tanimoto_knn3w,loocv,0.8599646938768236,1.08311189920078,0.07733341834581231
raw_rows,spectral,extra,loocv,0.8615164529914593,1.0839730894153676,0.07586559710818896
raw_rows,graph_morgan3_512,svr_rbf,loocv,0.932093239183849,1.0842565386534877,0.07538222820699159
raw_rows,base,svr_rbf,loocv,0.9113380386036588,1.0855325217883973,0.07320471605986867
raw_rows,morgan3_512,svr_rbf,loocv,0.9321507436855523,1.0856574905342329,0.07299131460261177
dedup_rows,base_morgan2_256,knn1_euclid,loocv,0.6373684210526317,1.1104266605323616,0.06591319434826493
dedup_rows,graph_morgan2_256,knn1_euclid,loocv,0.6373684210526317,1.1104266605323616,0.06591319434826493
raw_rows,graph_morgan2_256,extra,loocv,0.8380136752136813,1.0911094070379879,0.06365749812862143
dedup_rows,graph,rf,loocv,0.9435736842105269,1.1118561407481182,0.0635066994179988
raw_rows,base_morgan2_256,ridge,loocv,0.8064110875978792,1.091232658304835,0.06344594845837359
raw_rows,base_morgan2_256,extra,loocv,0.84062991452992,1.0917380621148043,0.06257821856520529
raw_rows,graph_morgan2_512,extra,loocv,0.8232504273504337,1.0921738305853985,0.061829723305098616
raw_rows,morgan3_512,enet,loocv,0.8050475905985752,1.0922118620519952,0.06176438459845368
raw_rows,base_morgan2_512,extra,loocv,0.8176690170940231,1.0931826346001905,0.060095810611294764
raw_rows,base_graph_morgan2_256_sim,extra,loocv,0.8495720085470144,1.0931970807699105,0.06007096919006116
raw_rows,base_graph_morgan2_256_sim,ridge,loocv,0.8214951020514951,1.093679429542977,0.059241340858182334
raw_rows,morgan2_512,extra,loocv,0.8163017094017155,1.0958881303903665,0.05543775359219605
dedup_rows,graph_morgan2_256,ridge,loocv,0.9129574614630863,1.1187455618816753,0.051865111048275625
raw_rows,base_graph_morgan3_512,enet,loocv,0.7998540718814018,1.098595357799469,0.050765190301100604
raw_rows,morgan3_512,tanimoto_krr_a0.1,loocv,0.861191223259087,1.0992822510391747,0.04957780714553517
raw_rows,base_graph_morgan2_512_sim,ridge,loocv,0.8137491572310525,1.0998564635623052,0.048584637538253816
raw_rows,graph_morgan3_512,extra,loocv,0.83868803418804,1.099940099832432,0.04843993527869872
raw_rows,morgan3_512,tanimoto_krr_a0.01,loocv,0.8302899423958878,1.1008953727351858,0.04678640111260879
raw_rows,base_graph_morgan3_512_sim,enet,loocv,0.7994844398712935,1.1016380543321824,0.0454998610702102
raw_rows,base_graph_morgan2_256,ridge,loocv,0.820157828934824,1.1019444738846345,0.04496880065449094
raw_rows,base_graph,knn1_euclid,loocv,0.7026923076923077,1.1032626439513222,0.042682575663000155
raw_rows,base_morgan2_512,ridge,loocv,0.8190977470940021,1.1034099214109292,0.0424269689138419
raw_rows,morgan2_256,extra,loocv,0.8432946581196634,1.1037643847555738,0.041811641732658056
dedup_rows,morgan2_512,rf,loocv,0.9704666666666666,1.1249782153576304,0.04127135790469094
raw_rows,base_graph_morgan3_512,extra,loocv,0.850875000000006,1.1050225242560698,0.039625991043264475
raw_rows,graph_morgan3_512,enet,loocv,0.8078986912858972,1.1051565928554261,0.039392939125906024
raw_rows,base_graph_morgan2_512,ridge,loocv,0.8154405977763003,1.105730815805531,0.038394445471309435
raw_rows,base_morgan3_512,extra,loocv,0.8478267094017153,1.1074717995617571,0.035363947268968854
dedup_rows,base_graph_morgan2_512_sim,extra,loocv,0.9433859649122812,1.1289643286311744,0.034465232389296996
dedup_rows,base_graph_spectral,rf,loocv,0.9844017543859649,1.129887962851402,0.03288472938845621
raw_rows,graph_morgan2_256,ridge,loocv,0.8260270981728101,1.1093686254721675,0.032056750441170734
dedup_rows,rdk512,enet,loocv,0.861052759921922,1.1330438884030525,0.027474624291768834
raw_rows,morgan3_512,extra,loocv,0.8532262820512881,1.1127705936232024,0.026111096271316137
raw_rows,graph_morgan2_512,ridge,loocv,0.8219443413327364,1.112910055679752,0.025866968575549487
dedup_rows,base,extra,loocv,0.9682245614035088,1.134434306872014,0.025086284446071083
raw_rows,base_graph_morgan2_256,enet,loocv,0.8205477039819292,1.1136842384467445,0.024511208849857025
dedup_rows,base_graph_morgan3_512,ridge,loocv,0.9479637642687272,1.1358109172489819,0.02271877736525052
raw_rows,morgan2_256,ridge,loocv,0.8332339350041604,1.1149193931805903,0.0223462365803222
dedup_rows,base_graph_morgan3_512_sim,ridge,loocv,0.9487333859606699,1.1372104097395492,0.020308974258598678
dedup_rows,base_graph_morgan2_512,extra,loocv,0.9568596491228074,1.1375031644965945,0.01980450099182396
raw_rows,base_graph_morgan3_512_sim,extra,loocv,0.8644636752136812,1.118361587111945,0.016300115519214398
dedup_rows,morgan3_512,tanimoto_knn3w,loocv,0.919199995426078,1.1395403659993828,0.016290411656882275
raw_rows,rdk512,gpr_matern,loocv,0.9678825446801995,1.119983367458742,0.013445042714994915
dedup_rows,base_graph_spectral,extra,loocv,0.9711122807017529,1.1413513584820283,0.013161244279254025
dedup_rows,base_graph,rf,loocv,0.9919578947368419,1.144068775945558,0.00845656645737125
dedup_rows,graph_morgan2_512,rf,loocv,1.0070789473684212,1.1447632930075735,0.007252350643653038
dedup_rows,base_graph_morgan2_512,ridge,loocv,0.9118935002425864,1.145269514765431,0.006374157607985431
raw_rows,base_graph,knn3_dist_euclid,loocv,0.792671287588823,1.1245120802297894,0.005450536533137651
raw_rows,base_graph,gpr_matern,loocv,0.9536982846928119,1.12479766909005,0.004945307073828009
dedup_rows,base_graph_morgan2_512_sim,ridge,loocv,0.9128616798924911,1.146356481147328,0.004487177468011749
raw_rows,rdk512,gpr_rbf,loocv,0.9721922935132358,1.1250939311872332,0.004421060230605067
